,id,elevation,latitude,longitude,city,county,location,region,state,station_id,station_name,station_slug,station_timezone,earliest_api_date,days_active,campbell_cloud_id,legacy_id
38,18,258.0,43.344799,-89.7117,Prairie du Sac,Sauk,Prairie du Sac,Southwest,WI,DFRC,Prairie du Sac,prairie_du_sac,US/Central,2023-09-28T00:00:00Z,524.0,1f29af07-9583-9de5-47d8-e15b027d41ce,S864RV5JT0
39,2,488.0,45.654598,-89.268204,Rhinelander,Oneida County,Not set,North Central,WI,RNLD,Rhinelander,rhinelander,US/Central,2023-02-02T00:00:00Z,762.0,1a4dbbf4-457e-48cb-17ff-5707f4d651e7,SKVJ7WMFRP
40,27,239.0,43.369999,-90.383003,Richland Center,Richland,Richland County Highway Department,Southern,WI,RCHD,Richland Center,richland_center,US/Central,2024-05-30T00:00:00Z,279.0,f0f5f082-3718-3140-cd56-3fa798760094,SQ60X8ITCS
41,28,259.0,43.905602,-88.846703,Ripon,Winnebago,Vines and Rushes Winery,East Central,WI,RIPN,Ripon,ripon,US/Central,2024-06-10T00:00:00Z,268.0,03def203-da4a-de81-513c-f93e4c3b1be2,SLKBWBA34X
42,11,212.0,45.219101,-87.0662,Sister Bay,Door,Sister Bay,East Central,WI,SIBA,Sister Bay,sister_bay,US/Central,2023-08-18T00:00:00Z,565.0,6e1a24b7-57d3-353f-4e49-51ba8c1d1ada,SBMBAZGNYY
43,48,355.0,43.378399,-90.900002,Soldiers Grove,Crawford,Star Valley Flowers,Southwest,WI,STAR,Soldiers Grove,soldiers_grove,US/Central,2024-09-12T00:00:00Z,174.0,1bf2d1e5-58f4-4fa2-d906-ff3b10f7b8d1,SLCZZFSUVX
44,51,196.0,42.901299,-87.851196,South Milwaukee,Milwaukee,South Milwaukee Wastewater Treatment Plant,Southeast,WI,SMKE,South Milwaukee,south_milwaukee,US/Central,2024-09-27T00:00:00Z,159.0,6197ce99-389e-74e4-00bb-c5f207df9d54,S9GYM95LWZ
45,10,212.0,44.778999,-87.355598,Sturgeon Bay,Door,Sturgeon Bay,East Central,WI,SODO,Southern Door,southern_door,US/Central,2023-08-17T00:00:00Z,566.0,620e4b8f-0057-716b-bcfb-95665eb03803,S0O7S5BUXF
46,4,333.0,45.827,-91.861397,Spooner,Washburn County,Not set,Northwest,WI,SPNR,Spooner,spooner,US/Central,2023-02-09T00:00:00Z,755.0,f0eccf6e-b561-fe08-4ffc-3c4a612174d6,SGQXIS2977
47,13,220.0,44.880199,-87.329597,Sturgeon Bay,Door,Sturgeon Bay,East Central,WI,PARS,Sturgeon Bay,sturgeon_bay,US/Central,2023-08-17T00:00:00Z,566.0,81c259ae-fcb1-b577-ce46-9e4355a5e00d,S32S795MCD
48,56,257.0,44.999001,-88.342697,Suring,Oconto,Mahoney Farms,Northeast,WI,SRNG,Suring,suring,US/Central,2024-10-22T00:00:00Z,134.0,643c7f23-0da6-2fa9-0c47-9f73b588ce49,SCX0KN548O
49,6,265.0,42.714008,-84.453499,"East Lansing, MI",,Not set,,MI,MITEST1,Usonia_II,usonia_ii,US/Eastern,2023-07-01T00:00:00Z,613.0,a6f330c1-3e47-8138-7740-ec24df8b6278,SEVW3DA5OJ
50,59,247.0,44.004398,-87.8228,Valders,Manitowoc,Libertyland Farms,East Central,WI,VLDR,Valders,valders,US/Central,2024-10-29T00:00:00Z,127.0,e9185d9d-e0e4-0e4e-f956-8cd9b7431791,SWX29T79PF
51,17,309.0,43.025002,-89.536697,Verona,Dane,Verona,South Central,WI,OJNR,Verona,verona,US/Central,2023-09-28T00:00:00Z,524.0,5ca8b08c-5fe1-54aa-1a24-495e6e4ee82f,SZ9NKURYCM
52,25,292.0,42.527,-88.639999,Walworth,Walworth,Blooming Duda&apos;s Flower Farm,Southeast,WI,DUDA,Walworth,walworth,US/Central,2024-05-22T00:00:00Z,287.0,57813f10-a996-c955-0dfa-ded39e0fd047,SEPQFBCBK1
53,35,288.0,44.116699,-90.412102,Warrens,Monroe,Weatherby Cranberry Company,West Central,WI,WRNS,Warrens,warrens,US/Central,2024-07-01T00:00:00Z,247.0,eb075039-5c1b-424b-1d24-b8c1be652a12,S7PFJRZ6AL
54,12,220.0,45.009998,-87.233498,West Jacksonport,Door,West Jacksonport,East Central,WI,WJPT,West Jacksonport,west_jacksonport,US/Central,2023-08-18T00:00:00Z,565.0,4e94b407-26d9-a0a8-4770-d7afd5403660,SPBFD11X7A
55,22,319.0,43.295399,-89.3582,Arlington,Columbia County,Poultry Barn,South Central,WI,WNTEST1,WiscNetTest,wiscnettest,US/Central,2023-10-22T00:00:00Z,500.0,edaa3c00-47e7-dd4b-51a2-1b65cbfe4c57,SX0PMT6VTR
56,58,346.0,44.866001,-89.023552,Wittenberg,Shawano,Strassburg Creek Dairy,Northeast,WI,WTBG,Wittenberg,wittenberg,US/Central,2024-10-23T00:00:00Z,133.0,3ebd88b9-e7aa-8466-aa6a-013187670eb2,SCWRLMUIXM
57,16,492.0,45.841,-89.667801,Woodruff,Oneida County,Woodruff,North Central,WI,KEMP,Woodruff,woodruff,US/Central,2023-09-27T00:00:00Z,525.0,bef6d2f3-3f53-e50b-9b5c-7704f38f57d5,S8QF327ICS
58,44,347.0,44.943001,-92.287003,Woodville,St. Croix,Viking Middle School,West Central,WI,WDVL,Woodville,woodville,US/Central,2024-08-27T00:00:00Z,190.0,d0d24c6f-9b7d-9364-c0d1-1168ff05b3b3,S9KLFJCB0P
59,46,226.0,42.7281,-88.028,Union Grove,Racine,Racine Astronomical Society,Southeast,WI,UGRV,Yorkville,yorkville,US/Central,2024-09-05T00:00:00Z,181.0,efc9f1be-18df-1738-6098-6d035cc3544f,S355RGMPET
